Date,SVI %,NDVI
2019-01-31,0-5% SVI,0.41745051854627324
2019-01-31,5-10% SVI,0.40160215843384006
2019-01-31,10-15% SVI,0.38349148418636825
2019-01-31,15-20% SVI,0.37879125696058313
2019-01-31,>20% SVI,0.36509750565567817
2019-02-28,0-5% SVI,0.39968638004636875
2019-02-28,5-10% SVI,0.3916180884837449
2019-02-28,10-15% SVI,0.3761674127393005
2019-02-28,15-20% SVI,0.3709650163740743
2019-02-28,>20% SVI,0.35491060841349753
2019-03-31,0-5% SVI,0.4443319812278179
2019-03-31,5-10% SVI,0.4332461191152296
2019-03-31,10-15% SVI,0.41568072092319475
2019-03-31,15-20% SVI,0.4133421314002521
2019-03-31,>20% SVI,0.3935503431549504
2019-04-30,0-5% SVI,0.5145407726909694
2019-04-30,5-10% SVI,0.4967556878086272
2019-04-30,10-15% SVI,0.4806135980772289
2019-04-30,15-20% SVI,0.47398072342235276
2019-04-30,>20% SVI,0.4558374804226524
2019-05-31,0-5% SVI,0.5086432504164817
2019-05-31,5-10% SVI,0.4927989132194516
2019-05-31,10-15% SVI,0.47524708798290594
2019-05-31,15-20% SVI,0.46725184544860565
2019-05-31,>20% SVI,0.4501778713277945
2019-06-30,0-5% SVI,0.47747275821062163
2019-06-30,5-10% SVI,0.4668950263037298
2019-06-30,10-15% SVI,0.4497970899659215
2019-06-30,15-20% SVI,0.44258141849812593
2019-06-30,>20% SVI,0.4219066196287946
2019-07-31,0-5% SVI,0.4587424894800982
2019-07-31,5-10% SVI,0.4429291173163491
2019-07-31,10-15% SVI,0.4277762436690235
2019-07-31,15-20% SVI,0.4208311081143328
2019-07-31,>20% SVI,0.4080540872349816
2019-08-31,0-5% SVI,0.4680299899084856
2019-08-31,5-10% SVI,0.45320291251813016
2019-08-31,10-15% SVI,0.43905201216050316
2019-08-31,15-20% SVI,0.43111314677127766
2019-08-31,>20% SVI,0.4095822553000305
2019-09-30,0-5% SVI,0.482856342128823
2019-09-30,5-10% SVI,0.4682569699425472
2019-09-30,10-15% SVI,0.4505617856609824
2019-09-30,15-20% SVI,0.44602310596523775
2019-09-30,>20% SVI,0.42849321631721826
2019-10-31,0-5% SVI,0.5034890006399143
2019-10-31,5-10% SVI,0.48655901662685996
2019-10-31,10-15% SVI,0.4699884381664812
2019-10-31,15-20% SVI,0.4623590413401606
2019-10-31,>20% SVI,0.44649333976412153
2019-11-30,0-5% SVI,0.473200855736874
2019-11-30,5-10% SVI,0.45179767989248065
2019-11-30,10-15% SVI,0.4329626606281131
2019-11-30,15-20% SVI,0.4291931267977181
2019-11-30,>20% SVI,0.414269929378972
2019-12-31,0-5% SVI,0.438752047466508
2019-12-31,5-10% SVI,0.4156437695667513
2019-12-31,10-15% SVI,0.3945631455102827
2019-12-31,15-20% SVI,0.3887994592229878
2019-12-31,>20% SVI,0.37751933304890506
